"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"Jul 7, 2019","False","False","1","00:00","desktop","Direct","1","10:07 AM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
"Jun 19, 2019","False","False","1","14:14","desktop","Direct","2","6:09 PM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
"","","","","","","","","5:55 PM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
