"Jul 7, 2019",False,False,1,00:00,desktop,Referral,1,11:02 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,desktop,Organic Search,1,11:01 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jun 19, 2019",False,False,1,00:00,desktop,Direct,1,7:33 PM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,desktop,Social,1,11:01 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jun 19, 2019",False,False,1,00:45,mobile,Direct,2,7:09 PM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,7:08 PM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jun 21, 2019",False,False,1,00:00,mobile,Direct,1,12:43 PM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,desktop,Organic Search,1,11:01 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,desktop,Organic Search,1,11:01 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,desktop,Direct,1,11:01 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,desktop,Social,1,11:01 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,desktop,Social,1,11:02 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jul 7, 2019",False,False,1,00:00,mobile,Organic Search,1,11:01 AM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
"Jun 19, 2019",False,False,1,00:00,mobile,Direct,1,6:56 PM,PAGEVIEW,SMART BUY SOLUTIONS,/,SMART BUY SOLUTIONS,,
,,,,,,,,,,,,,,
