"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"Jun 20, 2019","False","False","1","00:00","mobile","Direct","1","11:29 AM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
"Jun 19, 2019","False","False","1","01:09","mobile","Direct","2","10:39 PM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
"","","","","","","","","10:38 PM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
