"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"Jun 19, 2019","False","False","2","00:00","mobile","Direct","1","7:27 PM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
"","","","","01:29","mobile","Direct","2","6:16 PM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
"","","","","","","","","6:15 PM","PAGEVIEW","SMART BUY SOLUTIONS","/","SMART BUY SOLUTIONS"
